@RELATION glass

@ATTRIBUTE RI NUMERIC
@ATTRIBUTE Na NUMERIC
@ATTRIBUTE Mg NUMERIC
@ATTRIBUTE Al NUMERIC
@ATTRIBUTE Si NUMERIC
@ATTRIBUTE K NUMERIC
@ATTRIBUTE Ca NUMERIC
@ATTRIBUTE Ba NUMERIC
@ATTRIBUTE Fe NUMERIC
@ATTRIBUTE Type NUMERIC

@DATA
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,1,1,1
5,5,5,5,5,5,5,1,1,1
6,6,6,6,6,6,5,1,2,1
7,7,2,7,7,7,6,1,1,1
8,8,6,8,8,4,7,1,1,1
9,9,7,9,9,8,8,1,1,1
12,12,9,11,11,10,11,1,1,1
13,13,10,12,12,11,12,1,4,1
14,14,11,11,13,12,13,1,5,1
12,15,12,13,14,7,14,1,1,1
15,17,14,15,15,13,16,1,1,1
17,19,16,17,17,1,18,1,1,1
18,20,13,18,2,12,19,1,6,1
19,21,3,19,18,12,20,1,7,1
20,22,17,20,19,15,21,1,1,1
21,23,5,4,20,16,16,1,1,1
22,16,18,21,21,17,22,1,1,1
23,24,19,22,22,18,23,1,1,1
24,25,13,23,23,19,24,1,1,1
25,4,20,24,24,16,23,1,1,1
26,26,20,25,25,8,23,1,1,1
27,27,21,26,26,4,25,1,1,1
27,29,11,28,5,13,27,1,8,1
28,30,19,7,28,8,28,1,1,1
29,31,20,14,6,13,11,2,9,1
31,33,13,30,30,4,1,1,1,1
33,2,25,31,32,20,30,3,1,1
34,35,20,21,33,6,31,1,1,1
35,36,26,32,34,21,32,1,1,1
35,36,26,32,34,21,32,1,1,1
25,6,19,33,35,6,33,1,1,1
10,37,27,34,10,16,34,1,1,1
36,4,28,25,36,16,22,1,1,1
37,38,29,35,37,22,35,1,1,1
38,39,10,36,30,17,36,1,11,1
39,40,20,21,38,5,21,1,1,1
40,41,30,17,39,4,37,1,12,1
41,42,31,37,40,23,38,1,13,1
42,4,32,38,41,24,39,1,1,1
43,43,33,14,9,16,40,1,1,1
45,45,35,27,43,10,42,1,3,1
46,46,36,36,44,5,43,1,1,1
47,47,37,27,22,5,44,1,1,1
48,4,38,4,45,20,45,1,14,1
50,49,23,33,45,17,47,1,15,1
51,26,20,4,30,10,23,1,1,1
52,50,40,40,3,16,48,1,1,1
52,51,9,36,20,4,49,1,3,1
53,52,5,41,24,26,36,1,1,1
54,53,7,31,47,27,50,4,1,1
55,54,41,42,48,28,51,1,3,1
56,55,42,43,49,29,52,1,1,1
55,50,40,44,50,30,53,1,6,1
58,57,43,45,53,31,55,1,5,1
58,58,7,44,54,28,38,1,12,1
61,1,44,11,51,12,58,1,18,2
63,62,18,49,57,13,59,1,1,2
6,20,11,3,15,33,60,1,1,2
64,20,7,50,58,11,61,1,1,2
66,10,7,3,60,13,62,1,1,2
67,64,21,51,61,35,63,1,8,2
64,21,21,52,27,11,64,1,1,2
68,14,21,53,62,11,64,1,1,2
70,61,21,54,57,36,12,1,14,2
71,67,45,55,65,37,67,1,1,2
72,68,7,19,39,38,68,1,1,2
73,69,22,56,66,39,48,1,1,2
65,70,22,48,67,9,69,1,13,2
3,71,19,57,68,10,70,1,1,2
74,72,20,58,69,40,69,1,14,2
75,73,40,41,65,6,71,1,9,2
76,74,46,59,70,41,49,1,1,2
77,58,47,60,71,42,15,1,7,2
78,37,35,19,12,9,7,1,1,2
79,68,10,26,72,20,72,1,1,2
7,75,49,15,74,17,74,1,4,2
80,76,50,62,13,43,25,1,1,2
81,77,51,26,75,10,75,5,1,2
82,78,52,63,28,4,75,3,9,2
83,79,53,64,57,44,76,1,1,2
84,80,54,65,76,45,77,1,20,2
85,81,55,66,77,46,78,1,1,2
86,82,56,40,78,46,79,1,1,2
87,83,57,67,79,47,80,1,21,2
88,84,57,68,80,7,81,6,22,2
89,85,57,69,81,27,82,1,4,2
90,86,57,69,82,48,83,1,23,2
91,44,57,70,83,29,84,1,1,2
92,87,57,71,13,29,85,1,1,2
94,89,57,73,19,1,87,1,1,2
95,90,58,74,84,4,68,1,8,2
96,91,59,36,85,10,23,1,1,2
97,66,60,25,86,20,88,1,1,2
99,44,62,75,88,6,90,1,1,2
101,92,18,56,90,6,61,1,1,2
102,65,64,31,91,7,91,1,1,2
105,50,20,62,92,17,92,1,1,2
106,45,62,22,18,12,20,1,1,2
108,94,6,74,18,8,72,1,1,2
109,95,65,26,41,49,55,1,5,2
110,96,66,77,94,50,32,7,5,2
106,98,68,2,79,51,94,1,1,2
112,99,57,2,95,31,95,1,13,2
113,46,69,17,96,7,96,1,1,2
114,100,70,3,32,12,68,1,19,2
81,101,15,51,97,52,70,1,1,2
115,41,61,28,87,5,19,1,22,2
117,102,5,49,33,13,97,1,1,2
118,6,21,3,99,34,60,1,1,2
118,26,11,79,100,19,92,1,1,2
119,101,13,80,101,36,97,1,1,2
122,10,23,82,39,34,100,1,1,2
123,49,74,14,6,7,101,1,4,2
49,103,9,41,103,21,72,1,1,3
125,101,25,30,82,8,102,1,1,3
126,69,18,29,104,8,19,1,13,3
127,104,21,21,68,4,24,1,1,3
128,47,24,83,105,10,13,1,5,3
125,106,75,85,107,16,58,1,1,3
130,14,7,13,4,13,75,1,1,3
82,66,28,27,24,52,106,1,1,3
132,3,47,48,108,7,75,1,1,3
133,109,76,64,109,4,101,1,14,3
134,101,48,3,110,8,108,1,1,3
135,1,13,72,67,32,18,9,4,3
136,110,77,87,16,28,42,1,29,3
138,39,79,89,107,10,110,1,1,5
139,112,80,10,27,54,111,1,1,5
140,113,81,10,112,7,112,1,1,5
142,14,57,91,114,55,56,1,1,5
143,5,57,83,35,54,114,1,1,5
146,10,57,93,116,57,117,1,1,5
147,24,57,12,117,51,118,1,1,5
148,31,82,94,94,58,119,11,30,5
149,114,83,50,29,24,120,1,22,5
53,115,84,10,118,29,32,1,1,6
150,116,85,36,36,29,121,1,1,6
152,119,88,3,119,29,124,1,1,6
153,120,89,47,120,29,125,1,1,6
154,121,57,96,31,29,126,1,1,6
141,122,57,70,121,29,127,1,1,6
155,123,57,97,122,29,128,1,1,6
156,56,90,75,64,59,129,12,1,7
157,105,91,98,123,60,130,13,1,7
158,63,48,14,86,10,37,1,1,7
159,60,92,99,124,58,131,1,1,7
160,124,93,13,125,61,132,14,1,7
67,125,94,82,56,29,50,15,1,7
161,126,57,100,12,29,36,16,14,7
162,127,57,101,126,62,133,17,14,7
163,128,57,102,21,29,24,18,23,7
164,122,57,103,14,29,20,19,6,7
165,129,57,104,29,46,44,20,31,7
169,133,57,108,127,63,37,23,1,7
171,135,57,36,129,64,104,1,1,7
137,126,57,110,130,29,15,25,1,7
174,137,57,113,3,29,132,28,1,7
175,139,57,114,27,65,139,30,1,7
176,141,57,111,70,29,9,18,1,7
177,18,57,117,132,29,19,33,1,7
